Gene	117-A2	117-A3	124-A1	124-A2	117-A1	120-A1	120-A2	120-A3
LRRCC1	16.454621033119565	4.8109862619344135	3.560854232543585	9.535765014013416	5.845397068095852	4.93449233114262	5.5604302042006015	4.784612423308474
LRRD1	1.0494978315326056	1.1800233950768888	0.0	0.0	0.0	0.0	0.0	0.0
LRRFIP1	219.45973584712934	72.452255723318	76.88836193701508	112.15025199123072	80.8839414719645	75.04049531754579	108.06558930333715	78.18055159955516
LRRFIP2	107.29463638526848	39.07447662029985	39.210909297266326	40.59082235851678	46.14006990957383	37.294225093313116	31.87892095238307	35.34329356779395
LRRIQ1	0.0	1.5389459952400366	0.0	1.2396555816704784	4.185889568736147	2.1390986729049883	2.3494773094324017	1.1278603762769577
LRRIQ3	0.0	0.0	1.5212833896163898	1.98569198028412	0.0	1.110558356487524	1.0533342317711625	0.0
LRRIQ4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRK1	60.5974474700267	16.47626409559824	13.684721778001045	18.705690750783173	6.326478809917513	15.675564329968633	11.106774168819921	14.566718776060972
LRRK2	32.765071186656535	58.61124359940733	155.3269449021507	73.92153374227945	91.2576100046185	149.08132479033682	120.44958358316539	124.78518870610695
LRRN1	0.0	1.4648016109326782	0.0	0.0	2.127602172747673	0.0	0.0	0.0
LRRN2	6.772232052725059	58.240787428351915	0.0	4.2730200208302636	20.978094500870945	0.0	1.258355159797325	0.0
LRRN3	6.710835492025892	7.191122785649147	3.6338492818691073	6.042053432493166	1.9231750226238744	2.864707710777524	5.002443553607546	3.765909203710618
LRRN4	262.0851816363288	5.3864112665406525	6.151502415979298	26.40762080631681	4.046248229502479	1.9122548192900533	1.6638083781578454	0.0
LRRN4CL	3.0864936661909015	22.495728107926197	0.0	43.802999538715696	10.712148130727824	9.729056978268483	6.904131045284059	8.960003858897794
LRRTM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
